filepath,label
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_10.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_100.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1000.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1001.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1002.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1003.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1004.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1005.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1006.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1007.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1008.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1009.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_101.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1010.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1011.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1012.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1013.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1014.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1015.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1016.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1017.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1018.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1019.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_102.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1020.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1021.jpg,glioma
/home/mehr/.cache/kagglehub/datasets/masoudnickparvar/brain-tumor-mri-dataset/versions/2/Training/glioma/Tr-gl_1022.jpg,glioma
